node,type,degree,in_degree,out_degree,betweenness,closeness,pagerank,kcore,community
CBL,protein,2,,,0.0,0.00985458939811523,0.0005952511862062657,2,0
CBLB,protein,1,,,0.0,0.00973495379342584,0.0004199020207858162,1,0
PKN1,protein,1,,,0.0,0.008077971268036666,0.0004120054075396081,1,5
CCR8,receptor,2,,,0.0034801213303000756,0.009451862197711467,0.0015889076308814357,1,3
CCL1,cytokine,1,,,0.0,0.009267172702572761,0.0011755941779855643,1,3
CCR2,receptor,15,,,0.04387246616183081,0.009948090266733722,0.005281441208194715,4,3
CCR3,receptor,12,,,0.02495109226706563,0.009642918431217423,0.004456192256209634,4,3
CCR5,receptor,16,,,0.03258997022098262,0.010057470828499731,0.007202268977480508,4,3
PPARG,protein,1,,,0.0,0.009373540381872856,0.0006885888644977364,1,0
JUN,protein,1,,,0.0,0.010300992095549395,0.00039169920572569285,1,2
CCL16,cytokine,3,,,0.0,0.008613125269540728,0.000946338721189416,3,3
CCR4,receptor,2,,,3.3853320333658324e-05,0.0011216350947158525,0.0022889564033955704,1,7
CCL17,cytokine,1,,,0.0,0.0008942766295707474,0.001108959548565126,1,7
EEF1A1,protein,1,,,0.0,0.01030905114673108,0.0004146485166018091,1,0
CCL22,cytokine,2,,,5.416531253385332e-05,0.0014080100125156445,0.0015748008324887592,1,7
CCR10,receptor,1,,,0.0,0.0003892733564013841,0.0025113374411831653,1,7
CCR7,receptor,3,,,7.447730473404831e-05,0.001438618925831202,0.0015479001471779934,1,7
CCL19,cytokine,2,,,3.3853320333658324e-05,0.0012032085561497327,0.0029730593056349923,1,7
CCR1,receptor,14,,,0.02149484333328177,0.009733398999448053,0.00507403668853836,4,3
VCAN,protein,1,,,0.0,0.00990624910359137,0.0008329205490769117,1,2
CCL20,cytokine,1,,,0.0,0.008838919412649847,0.0014784315576088784,1,20
CCL23,cytokine,1,,,0.0,0.009081097375248714,0.00037165495105210444,1,3
CCL24,cytokine,1,,,0.0,0.009357528614685673,0.000318259257541849,1,3
