node,type,degree,in_degree,out_degree,betweenness,closeness,pagerank,kcore,community
IRF5,protein,5,,,0.010877390128702613,0.006906376050083086,0.0018552368313236823,5,0
TRADD,protein,1,,,0.0,0.0062591422848455765,0.0008509527173119567,1,0
CCR8,receptor,2,,,0.0065141432409179505,0.006839957309621816,0.0005986355012522935,2,1
CCL1,cytokine,3,,,0.0060444577107439485,0.006824744203698998,0.0015440718950434009,2,1
CCR2,receptor,6,,,0.031419181898524516,0.0070112799841669975,0.002152140697480183,5,1
CCR3,receptor,8,,,0.055676025260595,0.0069222531177472076,0.002071830365330739,5,1
CCR5,receptor,10,,,0.0,0.006890571647898243,0.006394631691750287,5,1
PPARG,protein,1,,,0.0,0.006789794931982341,0.0006306990691863916,1,1
MMP12,protein,10,,,0.0,0.005892701534721377,0.009526630585583737,5,1
JUN,protein,10,,,0.021185597480963842,0.007082952627339651,0.003253577027665038,5,0
CCL16,cytokine,3,,,0.0,0.0063092732760041135,0.0019029196911388329,3,1
CCR4,receptor,2,,,0.005816491961207781,0.006661071122256529,0.000614126404679614,2,0
CCL17,cytokine,5,,,0.012947371809503741,0.006738530297459394,0.003916096836895307,3,0
EEF1A1,protein,1,,,0.0,0.000358150527252828,0.002119837686437374,1,6
TLE1,protein,1,,,0.0,0.000358150527252828,0.002119837686437374,1,6
CCL22,cytokine,8,,,0.021024792372658165,0.0067314909034625085,0.0044675547948171395,4,0
CCR10,receptor,1,,,0.0,0.0057485565527579715,0.0010240594533951965,1,0
CCR7,receptor,3,,,0.02795477557518189,0.00676413648623669,0.0006971841225210766,3,0
CCRL2,protein,1,,,0.0,0.00655682667411018,0.000494065716697783,1,0
CCL19,cytokine,16,,,0.011535827787825048,0.00664581990743453,0.01083967289761124,5,0
CCR1,receptor,10,,,0.01741494448638936,0.0069377551488463834,0.004052560191025817,5,1
KLF6,protein,3,,,4.682223353759532e-05,0.006812478308293357,0.0011831228936848802,3,1
VCAN,protein,6,,,0.011465594437518656,0.0064824222186718045,0.004298500326085922,4,1
CCL20,cytokine,5,,,0.02577168893649149,0.007035162764207831,0.002818364463225054,3,1
CTSB,protein,1,,,0.0,0.0068386506720528525,0.0007254063457602673,1,1
CTSD,protein,4,,,0.05246592219315339,0.007006858099091515,0.0010567919381931981,3,1
CCL23,cytokine,2,,,0.005745965971941777,0.006611860475536663,0.0011620207527401267,1,1
CCL24,cytokine,1,,,0.0,0.006778509795973702,0.0005452028428829893,1,1
CCL26,cytokine,7,,,0.03362860604357979,0.006988468193228772,0.008033563283387257,5,8
CEBPB,protein,7,,,0.0007462293470054255,0.0068901295761943935,0.0023727043178005604,5,0
POLR2F,protein,8,,,0.0,0.0035156238650491138,0.02366365158662656,5,0
PIGR,protein,4,,,0.006952516402413687,0.006906968274753489,0.001123077725697001,3,1
MMP2,protein,1,,,0.0,0.006840683435156288,0.0005930402481547215,1,1
SKP2,protein,1,,,0.0,0.005950711063524851,0.00046048305037470097,1,3
JUND,protein,3,,,0.00889798020590077,0.00696746137953432,0.0007819065314338962,2,0
CXCR4,receptor,1,,,0.0,0.0058301096413952555,0.0005182418994573221,1,1
CD4,receptor,1,,,0.0,0.006137173780190218,0.00045203658655065083,1,3
HSPA8,protein,2,,,0.09298017663687602,0.006728679262210514,0.0007787499555181394,2,0
IL4R,receptor,2,,,0.011649956982072936,0.007038697712946783,0.0006644271049786425,2,0
EGR3,protein,1,,,0.0,0.006583757670319513,0.000818867631054795,1,0
NFATC2,protein,5,,,0.0045739469387038436,0.006929250255122395,0.0033479444442458253,4,0
CD9,receptor,1,,,0.0,0.006254767896418746,0.0004469687082562207,1,3
CDC34,protein,1,,,0.0,0.005957973798702333,0.001837134794089189,1,1
CHUK,protein,2,,,0.0,0.006508744249862144,0.002054300473310776,2,0
CDK1,protein,1,,,0.0,0.0061758774197785285,0.0004503472937858408,1,3
IL16,cytokine,17,,,0.08989868839218303,0.006335699941250782,0.02413115152644374,2,3
NFKB2,protein,5,,,8.779168788299123e-06,0.007026877257037491,0.0021978447287116275,5,0
CSF2RB,protein,1,,,0.0,0.006932977903090593,0.0006538359055980491,1,0
CSF3,cytokine,2,,,0.005750355556335926,0.0023854392263904494,0.0038920918824215294,1,0
GABPA,protein,1,,,0.0,0.005950711063524851,0.00046048305037470097,1,3
IL18BP,protein,2,,,0.00047407511456815267,0.006463565492656048,0.0011779583849049619,2,2
IL4,cytokine,23,,,0.0524248064193282,0.007058280919062064,0.010200228410836237,5,0
MMP13,protein,1,,,0.0,0.0066046769118204675,0.0007955200077232655,1,0
PRG2,protein,1,,,0.0,0.007076263405425447,0.0004879826227212422,1,0
CRP,protein,1,,,0.0,0.006992715119097689,0.00045749608834380823,1,4
MAFB,protein,1,,,0.0,0.006036560603908831,0.0009120527874364635,1,0
CEBPG,protein,1,,,0.0,0.007007772514190579,0.0004811178735594201,1,0
CTCF,protein,1,,,0.0,0.006837924977979244,0.0005677389176226857,1,0
CSF2RA,protein,1,,,0.0,0.007025498236206411,0.0005323751227158838,1,0
ETS1,protein,2,,,0.024575819828045343,0.007080617741960443,0.0006106631442993111,2,0
IL2RB,receptor,2,,,0.011430477762365459,0.006240109798427836,0.0010679066666041204,2,0
IFNA1,cytokine,9,,,0.007121954360027858,0.006807728127969786,0.0037887749315298922,5,0
RBPJ,protein,1,,,0.0,0.007043005926472829,0.00045054310553520446,1,4
IL1RAPL1,receptor,1,,,0.0,0.00633806800787713,0.0007477084932840836,1,2
IL2,cytokine,32,,,0.11195722788966342,0.007082641220321521,0.018163966034872824,5,0
CSF2,cytokine,26,,,0.08650992923989952,0.007127767557020177,0.014102964778352288,5,0
CREM,protein,5,,,0.014941267360806277,0.00705472627791605,0.0015289835830324503,5,0
SPI1,protein,1,,,0.0,0.006765556866835203,0.000578616283950575,1,0
HNRNPC,protein,1,,,0.0,0.006689561470681353,0.0008431226226783745,1,0
SDC2,protein,1,,,0.0,0.006926122127185736,0.0006211601227051668,1,0
HNRNPA2B1,protein,1,,,0.0,0.006644175309585623,0.0008875151226730161,1,0
GNB2L1,protein,1,,,0.0,0.006630774832525747,0.0007141227156707605,1,1
CX3CR1,protein,1,,,0.0,0.006938950489154592,0.00044623328682954805,1,8
CXCL10,cytokine,12,,,0.03968476931270816,0.007104349388380103,0.005868001923576328,5,0
PIAS1,protein,2,,,0.0,0.006130517536151195,0.0011442853940762563,2,0
CXCL11,cytokine,7,,,0.0011155397140332087,0.006990439338520851,0.003934430581226305,5,0
CXCL2,cytokine,6,,,3.9506259547346056e-05,0.00688674224334016,0.0040821355583378575,3,1
CXCL3,cytokine,2,,,0.0,0.0060574432516577875,0.0018443697588613312,2,1
CXCL5,cytokine,8,,,0.0005094844286809592,0.006897652517928196,0.004513205151468766,3,1
CXCL6,cytokine,5,,,0.00012144516823813784,0.006410452628579905,0.003437686897307303,3,1
CXCL9,cytokine,4,,,8.779168788299123e-06,0.006067481763289317,0.005011161476798644,3,0
NFATC3,protein,2,,,0.0,0.006981653573555215,0.0013036414153871523,2,0
PCBP2,protein,1,,,0.0,0.006675977478966992,0.0006690339501800671,1,1
DPP4,protein,1,,,0.0,0.006640204223169886,0.0004998375953882441,1,0
ILF3,protein,3,,,0.0,0.0067720983082315885,0.0016264901226339748,3,0
MAPK14,protein,1,,,0.0,0.006878655588557101,0.0005041790214814958,1,1
EFEMP2,protein,1,,,0.0,0.00031033994917309876,0.0055131577099214926,1,3
FOSL2,protein,1,,,0.0,0.006793660497889847,0.00045330498633790395,1,7
IL15,cytokine,4,,,0.005767913893912524,0.006124457754907636,0.010498480780054097,2,8
IL27,cytokine,5,,,0.11589380717433666,0.00718835700034417,0.0013979940191599718,5,0
TCF7,protein,1,,,0.0,0.006932232052680381,0.0005406766061460284,1,0
EGR4,protein,2,,,0.0,0.00561608794143921,0.0025140053199101246,2,0
HDAC1,protein,1,,,0.0,0.006649797715473902,0.000734849572984884,1,0
TYK2,protein,1,,,0.0,0.006556292969606976,0.0009283013127657618,1,1
HNRNPA0,protein,1,,,0.0,0.006644175309585623,0.0008875151226730161,1,0
